Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Bwd PSH Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
119653276,111,113,10158,386,218,0,91.51351351,29.83861588,90,0,3.415929204,16.00375272,88.12128136,1.87207578,536561.7758,483903.3359,2888980,2735,119000000,1080376.118,508481.0333,3104272,119311,120000000,1068332.821,513438.8266,3104231,51807,1,3552,3616,0.927680409,0.944395371,0,218,47.26222222,50.13595485,2513.613968,0,0,0,1,1,1,47.47321429,91.51351351,3.415929204,111,10158,113,386,836,107,0.0,0.0,0,0,0.0,0.0,0,0,Dropcam
119222188,113,114,10322,296,218,0,91.34513274,29.53985501,74,0,2.596491228,13.67623046,89.06060338,1.904008002,527531.8053,420166.7268,1878174,1926,118000000,1056203.589,397760.2477,2093392,53591,119000000,1055063.611,393829.6431,2093406,1926,0,3616,3648,0.947810151,0.956197851,0,218,46.57017544,50.02280877,2502.281397,0,0,0,0,1,1,46.7753304,91.34513274,2.596491228,113,10322,114,296,836,109,0.0,0.0,0,0,0.0,0.0,0,0,Dropcam
119626720,107,109,9782,386,218,0,91.42056075,30.36260031,90,0,3.541284404,16.28367287,84.99773295,1.805616672,556403.3488,501002.0123,3875476,6044,118000000,1116714.538,516495.0097,4098516,6551,120000000,1107654.815,501052.4265,3875476,170368,1,3424,3488,0.894448999,0.911167672,0,218,47.2718894,50.23947091,2524.004438,0,0,0,1,1,1,47.49074074,91.42056075,3.541284404,107,9782,109,386,836,103,0.0,0.0,0,0,0.0,0.0,0,0,Dropcam
118705680,105,107,9580,312,218,0,91.23809524,26.59291541,90,0,2.91588785,14.92694252,83.33215395,1.785929704,562586.1611,567213.5062,5384828,1832,117000000,1129420.846,636558.6747,5600052,103565,119000000,1119864.906,630392.5393,5600335,215247,1,3360,3424,0.884540656,0.901389049,0,218,46.86384977,49.16477166,2417.174772,0,0,0,1,1,1,47.08490566,91.23809524,2.91588785,105,9580,107,312,963,102,37600000.0,0.0,37600000,37600000,5384828.0,0.0,5384828,5384828,Dropcam
119463755,167,169,17332,386,286,0,103.7844311,41.95007356,90,0,2.284023669,13.16614681,148.3127665,2.812568549,356608.2239,327112.2627,1861074,1496,118000000,712929.6084,413867.7531,2066978,3260,119000000,711093.7798,408777.5486,2066948,142173,1,5344,5408,1.397913535,1.414655014,0,286,52.84272997,59.46188917,3535.716264,0,0,0,1,1,1,53.0,103.7844311,2.284023669,167,17332,169,386,836,163,0.0,0.0,0,0,0.0,0.0,0,0,Dropcam
118979634,110,112,9924,514,218,0,90.21818182,27.35206475,218,0,4.589285714,24.5810128,87.72929996,1.865865548,538369.3846,446408.8693,2888309,9789,118000000,1084933.624,432103.8674,3103438,21565,119000000,1071888.595,421062.2528,2898870,167994,1,3520,3584,0.924527974,0.941337574,0,218,47.78475336,51.31731651,2633.466974,0,0,0,1,1,1,48.0,90.21818182,4.589285714,110,9924,112,514,836,106,0.0,0.0,0,0,0.0,0.0,0,0,Dropcam
119636400,110,112,10068,386,218,0,91.52727273,29.97482402,90,0,3.446428571,16.07238092,87.38143241,1.855622536,541341.1765,475359.7415,2882086,1765,118000000,1086217.294,485779.6426,3097292,115069,120000000,1077805.405,488848.0022,3097278,41151,1,3520,3584,0.919452608,0.936169928,0,218,47.28251121,50.17937203,2517.969377,0,0,0,1,1,1,47.4954955,91.52727273,3.446428571,110,10068,112,386,836,106,0.0,0.0,0,0,0.0,0.0,0,0,Dropcam
119477521,125,125,222,11544,74,0,1.776,11.37120302,218,0,92.352,26.78476216,98.47877577,2.092443816,479829.4016,382439.2834,2756300,1849,119000000,961793.5887,389142.8296,2971477,16336,119000000,961793.3065,389890.9819,2971454,69628,1,4000,4000,1.046221908,1.046221908,0,218,47.23505976,49.78277338,2478.324526,0,0,0,1,1,1,47.424,1.776,92.352,125,222,125,11544,2549,3,0.0,0.0,0,0,0.0,0.0,0,0,Dropcam
119598001,206,208,22382,312,218,0,108.6504854,40.85553579,90,0,1.5,10.78108919,189.7523354,3.461596319,289583.5375,287986.469,1739729,2316,118000000,577358.9659,393946.3637,1957829,4411,120000000,577768.1208,392942.1055,1955149,144428,1,6592,6656,1.722436816,1.739159503,0,218,54.90120482,61.30140452,3757.862197,0,0,0,1,1,1,55.03381643,108.6504854,1.5,206,22382,208,312,836,203,0.0,0.0,0,0,0.0,0.0,0,0,Dropcam
119576132,110,112,10174,386,324,0,92.49090909,35.30749471,90,0,3.446428571,16.07238092,88.31193837,1.856557795,541068.4706,482761.6833,3881040,2377,118000000,1085537.358,495519.6571,4096289,4371,120000000,1077262.45,505739.2801,4096244,77588,1,3520,3584,0.919916025,0.936641771,0,324,47.75784753,52.26263043,2731.382539,0,0,0,1,1,1,47.97297297,92.49090909,3.446428571,110,10174,112,386,1331,106,0.0,0.0,0,0,0.0,0.0,0,0,Dropcam
119717386,111,113,10158,386,218,0,91.51351351,29.83861588,90,0,3.415929204,16.00375272,88.07409143,1.871073262,536849.2646,457108.715,2802757,4162,118000000,1077028.445,456664.1159,3017929,98494,120000000,1068905.232,461330.6135,3017937,31056,1,3552,3628,0.927183626,0.943889637,0,218,47.26222222,50.13595485,2513.613968,0,0,0,1,1,1,47.47321429,91.51351351,3.415929204,111,10158,113,386,1331,107,0.0,0.0,0,0,0.0,0.0,0,0,Dropcam
118525527,111,113,10104,312,218,0,91.02702703,25.82016811,90,0,2.761061947,14.53645315,87.87980331,1.889888243,531504.6054,422805.4403,2881277,4447,117000000,1067194.709,394094.6175,3096532,108673,119000000,1058263.634,400694.5539,3096486,27301,1,3552,3616,0.936507121,0.953381123,0,218,46.69333333,48.877573,2389.017143,0,0,0,1,1,1,46.90178571,91.02702703,2.761061947,111,10104,113,312,1331,108,0.0,0.0,0,0,0.0,0.0,0,0,Dropcam
118732615,111,113,10014,386,218,0,90.21621622,27.22746121,90,0,3.415929204,16.00375272,87.5917708,1.886591987,532433.2511,506331.883,5269258,118,117000000,1068023.445,555369.9358,5486207,118,119000000,1060112.634,559023.468,5485837,126323,1,3552,3616,0.934873708,0.951718279,0,218,46.62222222,48.82589737,2383.968254,0,0,0,1,1,1,46.83035714,90.21621622,3.415929204,111,10014,113,386,836,107,91800000.0,0.0,91800000,91800000,5269258.0,0.0,5269258,5269258,Dropcam
119668438,112,114,10242,312,234,0,91.44642857,27.87903061,90,0,2.736842105,14.47429986,88.19368061,1.888551432,531859.7244,506977.3659,5295306,3673,118000000,1066922.919,548832.349,5500476,103953,120000000,1059012.726,551743.6606,5500525,44376,1,3584,3660,0.935919294,0.952632138,0,234,46.88986784,49.61802086,2461.947994,0,0,0,1,1,1,47.09734513,91.44642857,2.736842105,112,10242,114,312,836,109,54000000.0,0.0,54000000,54000000,5295306.0,0.0,5295306,5295306,Dropcam
119588200,115,117,10518,386,218,0,91.46086957,29.31178045,90,0,3.299145299,15.73775658,91.17956454,1.939990735,517697.8355,447464.1591,4124432,1545,118000000,1038152.553,464852.959,4339601,19598,120000000,1030932.759,467264.2113,4339635,138153,1,3680,3744,0.961633338,0.978357396,0,218,47.18454936,49.96934683,2496.935622,0,0,0,1,1,1,47.38793103,91.46086957,3.299145299,115,10518,117,386,836,111,0.0,0.0,0,0,0.0,0.0,0,0,Dropcam
119817316,134,134,296,12408,74,0,2.208955224,12.64023569,218,0,92.59701493,29.21121409,106.0280803,2.236738469,448753.9925,441374.8784,3277904,2206,120000000,899254.3835,524866.7003,3594598,212329,120000000,899255.5263,522316.2627,3277904,8704,1,4288,4288,1.118369235,1.118369235,0,218,47.56133829,50.51733255,2552.000888,0,0,0,1,1,1,47.73880597,2.208955224,92.59701493,134,296,134,12408,2549,4,0.0,0.0,0,0,0.0,0.0,0,0,Dropcam
119867436,112,113,10210,296,308,0,91.16071429,31.8777376,74,0,2.619469027,13.73493888,87.64682345,1.877073603,535122.4821,537131.2012,5294723,6136,119000000,1075412.414,607029.5763,5510132,151157,120000000,1070244.964,607741.5783,5509923,189415,0,3584,3628,0.934365527,0.942708076,0,308,46.48672566,50.64308487,2564.722045,0,0,0,0,1,1,46.69333333,91.16071429,2.619469027,112,10210,113,296,1331,108,65400000.0,0.0,65400000,65400000,5294723.0,0.0,5294723,5294723,Dropcam
