Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Bwd PSH Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
128708,10,14,12600,122,1400,0,1260.0,442.7188724,122,0,8.714285714,32.60587151,98843.89471,186.4685956,5596.0,13564.48661,47593,19,8486,942.8888889,1460.320893,4806,320,128708,9900.615385,19366.35872,54294,19,0,200,312,77.69524816,108.7733474,0,1400,508.88,682.547698,465871.36,0,1,0,0,0,1,530.0833333,1260.0,8.714285714,10,12600,14,122,86,9,0.0,0.0,0,0,0.0,0.0,0,0,IPCam_Ezviz
100123419,4,6,240,280,60,60,60.0,0.0,60,44,46.66666667,6.531972647,5.193590123,0.099876733,11100000.0,13100000.0,25000000,44397,75100000,25000000.0,5942.997981,25000000,25000000,100000000,20000000.0,11200000.0,25000000,44397,0,32,48,0.039950693,0.05992604,44,60,52.72727273,8.355727486,69.81818182,0,0,0,0,0,1,58.0,60.0,46.66666667,4,240,6,280,-1,4,44544.5,109.7436407,44633,44397,25000000.0,4835.594448,25000000,25000000,IPCam_Ezviz
100104415,6,8,360,606,60,60,60.0,0.0,187,44,75.75,55.63336614,9.649924032,0.139853971,7700339.615,10900000.0,25000000,40412,75100000,15000000.0,10600000.0,25000000,2826146,100000000,14300000.0,11300000.0,25000000,45718,0,48,64,0.059937416,0.079916555,44,187,68.4,40.17070717,1613.685714,0,0,0,0,0,1,73.28571429,60.0,75.75,6,360,8,606,-1,6,1795164.25,3496320.315,7039644,45694,23200000.0,2092392.453,25000000,20800000,IPCam_Ezviz
100134467,4,6,240,280,60,60,60.0,0.0,60,44,46.66666667,6.531972647,5.193017106,0.099865714,11100000.0,13100000.0,25000000,45101,75100000,25000000.0,6851.861158,25000000,25000000,100000000,20000000.0,11200000.0,25000000,45340,0,32,48,0.039946285,0.059919428,44,60,52.72727273,8.355727486,69.81818182,0,0,0,0,0,1,58.0,60.0,46.66666667,4,240,6,280,-1,4,45246.75,105.2595997,45340,45101,25000000.0,13170.16432,25000000,25000000,IPCam_Ezviz
119952326,4791,8733,170068,2044291,89,20,35.49739094,9.545689683,1430,20,234.0880568,309.3994181,18460.32565,112.7447916,8870.245212,15926.61647,92485,12,120000000,25041.12777,24574.09692,199739,13,120000000,13737.09643,18382.05884,92485,12,0,38328,69864,39.94086784,72.80392379,20,1430,163.8291312,266.4228059,70981.11151,0,0,0,0,0,1,163.8412452,35.49739094,234.0880568,4791,170068,8733,2044291,-1,4791,0.0,0.0,0,0,0.0,0.0,0,0,IPCam_Ezviz
90124012,7,5,6,10,2,0,0.857142857,1.069044968,2,2,2.0,0.0,0.177533153,0.133149865,8193092.0,14000000.0,30000000,1467,90100000,15000000.0,16400000.0,30000000,46406,90100000,22500000.0,15000000.0,30000000,44890,1,140,100,0.077670754,0.05547911,0,2,1.384615385,0.960768923,0.923076923,0,0,0,1,1,0,1.5,0.857142857,2.0,7,6,5,10,126,3,46740.33333,622.000268,47458,46357,30000000.0,10006.18136,30000000,30000000,IPCam_Ezviz
231517,18,22,23800,122,1400,0,1322.222222,329.9831646,122,0,5.545454545,26.0104874,103327.1855,172.7734896,5936.333333,15689.74213,58577,57,66810,3930.0,12578.58535,52223,295,231517,11024.61905,22289.92852,60848,57,0,360,472,77.74807034,95.0254193,0,1400,583.4634146,696.011354,484431.8049,0,1,0,0,0,1,598.05,1322.222222,5.545454545,18,23800,22,122,126,17,0.0,0.0,0,0,0.0,0.0,0,0,IPCam_Ezviz
229799,30,30,40600,122,1400,0,1353.333333,255.6038602,122,0,4.066666667,22.27405067,177207.0375,261.0977419,3894.898305,11119.34176,45521,120,104450,3601.724138,11673.92512,48846,316,229799,7924.103448,16740.52759,49964,120,0,600,632,130.548871,130.548871,0,1400,667.5737705,703.2062869,494499.082,0,1,0,0,0,1,678.7,1353.333333,4.066666667,30,40600,30,122,126,29,0.0,0.0,0,0,0.0,0.0,0,0,IPCam_Ezviz
1114,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1795.332136,1114.0,0.0,1114,1114,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,20,20,897.6660682,897.6660682,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0.0,0.0,0.0,1,0,1,0,7000,0,0.0,0.0,0,0,0.0,0.0,0,0,IPCam_Ezviz
90113904,7,5,6,10,2,0,0.857142857,1.069044968,2,2,2.0,0.0,0.177553067,0.1331648,8192173.091,14000000.0,30000000,1373,90100000,15000000.0,16400000.0,30000000,46309,90100000,22500000.0,15000000.0,30000000,44953,1,140,100,0.077679467,0.055485333,0,2,1.384615385,0.960768923,0.923076923,0,0,0,1,1,0,1.5,0.857142857,2.0,7,6,5,10,126,3,46527.66667,353.9241915,46936,46309,30000000.0,9729.378209,30000000,30000000,IPCam_Ezviz
