Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Bwd PSH Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
110366647,7,7,138,138,132,1,19.71428571,49.51334596,132,1,19.71428571,49.51334596,2.500755505,0.126849917,8489742.077,9525396.102,19600000,159805,110000000,18300000.0,4158373.055,20200000,9847123,110000000,18300000.0,3904765.634,20000000,10400000,0,56,56,0.063424958,0.063424958,1,132,18.46666667,46.09441656,2124.695238,0,0,0,0,0,1,19.78571429,19.71428571,19.71428571,7,138,7,138,-1,7,328424.1667,82617.13752,363617,159805,18000000.0,3996582.752,19600000,9847123,NetatmoCam
3260948,96,73,123303,4294,1444,0,1284.40625,434.0148088,1444,0,58.82191781,259.390115,39128.80549,51.82542009,19410.40476,63181.53908,318914,82,2878648,30301.55789,84735.22912,402805,561,3255729,45218.45833,104520.2134,451310,82,0,3072,2352,29.43929189,22.38612821,0,1444,750.5705882,711.6636216,506465.1104,0,1,0,0,0,0,755.0118343,1284.40625,58.82191781,96,123303,73,4294,1452,90,0.0,0.0,0,0,0.0,0.0,0,0,NetatmoCam
2303556,2,4,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,2.604668608,460711.2,216501.848,700319,302576,998011,998011.0,0.0,998011,998011,2303556,767852.0,402884.242,1002910,302650,0,0,0,0.868222869,1.736445739,0,0,0.0,0.0,0.0,0,0,0,0,0,2,0.0,0.0,0.0,2,0,4,0,-1,0,0.0,0.0,0,0,0.0,0.0,0,0,NetatmoCam
100913052,6,7,137,138,132,1,22.83333333,53.48052605,132,1,19.71428571,49.51334596,2.725118253,0.128823772,8409421.0,9468933.821,19300000,158910,80000000,16000000.0,8644756.191,20000000,542263,101000000,16800000.0,7793732.563,20200000,912253,0,48,56,0.059457126,0.069366646,1,132,19.71428571,47.57088407,2262.989011,0,0,0,0,0,1,21.23076923,22.83333333,19.71428571,6,137,7,138,-1,6,867891.0,93216.81452,912253,701173,19100000.0,93405.76902,19300000,19100000,NetatmoCam
105048644,7,7,269,269,132,1,38.42857143,63.92145478,132,1,38.42857143,63.92145478,5.121436884,0.133271592,8080664.923,9838194.35,20500000,42383,105000000,17500000.0,6133189.338,20700000,5012294,105000000,17500000.0,6125145.185,20500000,5012284,0,56,56,0.066635796,0.066635796,1,132,35.93333333,59.96363978,3595.638095,0,0,0,0,0,1,38.5,38.42857143,38.42857143,7,269,7,269,-1,7,1070012.8,2292630.046,5171193,42383,19900000.0,408096.5471,20500000,19300000,NetatmoCam
104123342,6,8,137,139,132,1,22.83333333,53.48052605,132,1,17.375,46.31549417,2.650702472,0.134455922,8009487.846,9916681.941,20600000,118221,84000000,16800000.0,7569765.88,20700000,3271429,104000000,14900000.0,9038892.994,20700000,122349,0,48,64,0.057623967,0.076831956,1,132,18.46666667,46.09441656,2124.695238,0,0,0,0,0,1,19.78571429,22.83333333,17.375,6,137,8,139,-1,6,782892.6,1479971.545,3430345,118767,20000000.0,308291.8196,20600000,19900000,NetatmoCam
2305672,2,4,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,2.602278208,461134.4,216054.3259,698469,303285,1001834,1001834.0,0.0,1001834,1001834,2305672,768557.3333,402835.9457,1001754,303403,0,0,0,0.867426069,1.734852139,0,0,0.0,0.0,0.0,0,0,0,0,0,2,0.0,0.0,0.0,2,0,4,0,-1,0,0.0,0.0,0,0,0.0,0.0,0,0,NetatmoCam
102121091,6,8,137,139,132,1,22.83333333,53.48052605,132,1,17.375,46.31549417,2.702673829,0.137092151,7855468.538,9943192.817,20100000,106495,82000000,16400000.0,8196935.686,20300000,1738999,102000000,14600000.0,9329024.168,20200000,119820,0,48,64,0.058753779,0.078338372,1,132,18.46666667,46.09441656,2124.695238,0,0,0,0,0,1,19.78571429,22.83333333,17.375,6,137,8,139,-1,6,472075.0,798261.803,1900020,106495,19900000.0,96143.96057,20100000,19900000,NetatmoCam
2314201,2,4,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,2.592687498,462840.2,205426.1079,690177,312551,998670,998670.0,0.0,998670,998670,2314201,771400.3333,397165.4054,1003292,312803,0,0,0,0.864229166,1.728458332,0,0,0.0,0.0,0.0,0,0,0,0,0,2,0.0,0.0,0.0,2,0,4,0,-1,0,0.0,0.0,0,0,0.0,0.0,0,0,NetatmoCam
374404,1,2,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,8.012734907,187202.0,258304.693,369851,4553,0,0.0,0.0,0,0,369851,369851.0,0.0,369851,369851,0,20,80,2.670911636,5.341823271,0,0,0.0,0.0,0.0,0,1,0,0,0,2,0.0,0.0,0.0,1,0,2,0,28960,0,0.0,0.0,0,0,0.0,0.0,0,0,NetatmoCam
1305934,1,3,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,3.062941925,435311.3333,227602.4461,698124,303892,0,0.0,0.0,0,0,1305934,652967.0,493666.5993,1002042,303892,0,0,0,0.765735481,2.297206444,0,0,0.0,0.0,0.0,0,0,0,0,0,3,0.0,0.0,0.0,1,0,3,0,-1,0,0.0,0.0,0,0,0.0,0.0,0,0,NetatmoCam
2317812,2,4,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,2.58864826,463562.4,185779.254,669187,315838,1000526,1000526.0,0.0,1000526,1000526,2317812,772604.0,377409.98,995933,336854,0,0,0,0.862882753,1.725765506,0,0,0.0,0.0,0.0,0,0,0,0,0,2,0.0,0.0,0.0,2,0,4,0,-1,0,0.0,0.0,0,0,0.0,0.0,0,0,NetatmoCam
2305966,2,4,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,2.601946429,461193.2,214374.1405,696345,304204,1000549,1000549.0,0.0,1000549,1000549,2305966,768655.3333,401124.3393,1000575,305477,0,0,0,0.867315476,1.734630953,0,0,0.0,0.0,0.0,0,0,0,0,0,2,0.0,0.0,0.0,2,0,4,0,-1,0,0.0,0.0,0,0,0.0,0.0,0,0,NetatmoCam
117520197,6,8,137,139,132,1,22.83333333,53.48052605,132,1,17.375,46.31549417,2.348532482,0.119128459,9040015.154,9664945.155,19500000,160954,97000000,19400000.0,1078573.313,20000000,17500000,118000000,16800000.0,7274773.167,20200000,514497,0,48,64,0.051055054,0.068073405,1,132,18.46666667,46.09441656,2124.695238,0,0,0,0,0,1,19.78571429,22.83333333,17.375,6,137,8,139,-1,6,457063.8333,145070.7436,518737,160954,19000000.0,1081458.988,19500000,16800000,NetatmoCam
2851478,87,60,110640,4293,1444,0,1271.724138,447.3650684,1444,0,71.55,284.8995318,40306.46563,51.55221257,19530.67123,70194.00852,319258,44,2552299,29677.89535,99710.70715,627368,44,2847362,48260.37288,110021.6772,387296,67,0,2784,1936,30.51049315,21.04171942,0,1444,776.5743243,708.3431669,501750.0421,0,1,0,0,0,0,781.8571429,1271.724138,71.55,87,110640,60,4293,1388,81,0.0,0.0,0,0,0.0,0.0,0,0,NetatmoCam
