Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Bwd PSH Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
6843,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,292.2694725,6843.0,0.0,6843,6843,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,32,32,146.1347362,146.1347362,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0.0,0.0,0.0,1,0,1,0,4090,0,0.0,0.0,0,0,0.0,0.0,0,0,SamsungSmartCam
90018122,27,1,11809,379,459,379,437.3703704,23.05202836,379,379,379.0,0.0,135.3949597,0.31104848,3334004.519,9609088.659,30000000,83,90000000,3462228.962,9775801.283,30000000,83,0,0.0,0.0,0,0,0,216,8,0.299939605,0.011108874,379,459,433.3448276,26.8331829,720.0197044,0,0,0,0,0,0,448.8214286,437.3703704,379.0,27,11809,1,379,-1,27,1291.0,771.6812814,2107,573,30000000.0,2011.35833,30000000,30000000,SamsungSmartCam
3254,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,614.62815,3254.0,0.0,3254,3254,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,32,32,307.314075,307.314075,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0.0,0.0,0.0,1,0,1,0,4090,0,0.0,0.0,0,0,0.0,0.0,0,0,SamsungSmartCam
90534323,7,6,366,812,122,0,52.28571429,65.21174303,138,122,135.3333333,6.531972647,13.0116398,0.14359195,7544526.917,13500000.0,29900000,1280,90400000,15100000.0,16200000.0,29900000,166483,90500000,18100000.0,16300000.0,30000000,163176,1,224,192,0.077318742,0.066273208,0,138,92.85714286,61.34750593,3763.516484,0,0,0,1,1,0,100.0,52.28571429,135.3333333,7,366,6,812,95,3,166293.6667,389.2227297,166552,165846,29900000.0,568.425017,29900000,29900000,SamsungSmartCam
10278447,1,3,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.389163849,3426149.0,5815522.236,10100000,1111,0,0.0,0.0,0,0,10300000,5139223.5,7074983.062,10100000,136455,0,32,112,0.097290962,0.291872887,0,0,0.0,0.0,0.0,0,1,0,0,0,3,0.0,0.0,0.0,1,0,3,0,332,0,0.0,0.0,0,0,0.0,0.0,0,0,SamsungSmartCam
10927,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,183.0328544,10927.0,0.0,10927,10927,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,32,32,91.5164272,91.5164272,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0.0,0.0,0.0,1,0,1,0,4090,0,0.0,0.0,0,0,0.0,0.0,0,0,SamsungSmartCam
109,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,18348.62385,109.0,0.0,109,109,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,32,32,9174.311927,9174.311927,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0.0,0.0,0.0,1,0,1,0,4090,0,0.0,0.0,0,0,0.0,0.0,0,0,SamsungSmartCam
931,1,3,32,238,32,32,32.0,0.0,105,32,79.33333333,41.04063027,290010.7411,4296.455424,310.3333333,150.2741938,404,137,0,0.0,0.0,0,0,931,465.5,86.97413409,527,404,0,8,24,1074.113856,3222.341568,32,105,60.4,38.91400776,1514.3,0,0,0,0,0,3,75.5,32.0,79.33333333,1,32,3,238,-1,1,0.0,0.0,0,0,0.0,0.0,0,0,SamsungSmartCam
10306132,1,3,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.388118452,3435377.333,5830959.911,10200000,1246,0,0.0,0.0,0,0,10300000,5153066.0,7093856.449,10200000,136952,0,32,112,0.097029613,0.291088839,0,0,0.0,0.0,0.0,0,1,0,0,0,3,0.0,0.0,0.0,1,0,3,0,332,0,0.0,0.0,0,0,0.0,0.0,0,0,SamsungSmartCam
199626,3,1,4416,1472,1472,1472,1472.0,0.0,1472,1472,1472.0,0.0,29495.15594,20.03747007,66542.0,114985.6573,199316,146,199462,99731.0,140834.4576,199316,146,0,0.0,0.0,0,0,0,24,8,15.02810255,5.009367517,1472,1472,1472.0,0.0,0.0,0,0,0,0,0,0,1840.0,1472.0,1472.0,3,4416,1,1472,-1,3,0.0,0.0,0,0,0.0,0.0,0,0,SamsungSmartCam
204751,1,1,339,339,339,339,339.0,0.0,339,339,339.0,0.0,3311.339139,9.767962061,204751.0,0.0,204751,204751,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,8,8,4.883981031,4.883981031,339,339,339.0,0.0,0.0,0,0,0,0,0,1,508.5,339.0,339.0,1,339,1,339,-1,1,0.0,0.0,0,0,0.0,0.0,0,0,SamsungSmartCam
309754,1,3,32,504,32,32,32.0,0.0,238,32,168.0,117.7964346,1730.405418,12.91347327,103251.3333,158007.1333,285160,124,0,0.0,0.0,0,0,309754,154877.0,184423.348,285284,24470,0,8,24,3.228368318,9.685104954,32,238,113.6,111.7443511,12486.8,0,0,0,0,0,3,142.0,32.0,168.0,1,32,3,504,-1,1,0.0,0.0,0,0,0.0,0.0,0,0,SamsungSmartCam
90015129,27,1,11809,379,459,379,437.3703704,23.05202836,379,379,379.0,0.0,135.3994616,0.311058822,3333893.667,9607889.498,30000000,101,90000000,3462113.846,9774576.993,30000000,101,0,0.0,0.0,0,0,0,216,8,0.299949578,0.011109244,379,459,433.3448276,26.8331829,720.0197044,0,0,0,0,0,0,448.8214286,437.3703704,379.0,27,11809,1,379,-1,27,2866.0,597.445395,3501,2315,30000000.0,3223.63506,30000000,30000000,SamsungSmartCam
90273091,7,6,366,812,122,0,52.28571429,65.21174303,138,122,135.3333333,6.531972647,13.04929284,0.144007476,7522757.583,13400000.0,29900000,1082,90100000,15000000.0,16200000.0,29900000,163870,90300000,18100000.0,16300000.0,30000000,176228,1,224,192,0.077542487,0.066464989,0,138,92.85714286,61.34750593,3763.516484,0,0,0,1,1,0,100.0,52.28571429,135.3333333,7,366,6,812,95,3,259314.3333,152796.1065,435545,163870,29800000.0,151771.8731,29900000,29600000,SamsungSmartCam
13443,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,148.7763148,13443.0,0.0,13443,13443,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,32,32,74.38815741,74.38815741,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0.0,0.0,0.0,1,0,1,0,4090,0,0.0,0.0,0,0,0.0,0.0,0,0,SamsungSmartCam
90259833,7,5,366,674,122,0,52.28571429,65.21174303,138,122,134.8,7.155417528,11.52229032,0.132949504,8205439.364,13900000.0,29900000,2287,90100000,15000000.0,16300000.0,29900000,165879,90300000,22600000.0,14900000.0,30100000,163677,1,224,160,0.077553877,0.055395627,0,138,89.38461538,62.40397752,3894.25641,0,0,0,1,1,0,96.83333333,52.28571429,134.8,7,366,5,674,95,3,177284.6667,19647.0404,199971,165879,29900000.0,19869.41198,29900000,29800000,SamsungSmartCam
40404,2,5,186,1170,186,0,93.0,131.5218613,1170,0,234.0,523.2399067,33561.03356,173.2501733,6734.0,9939.897444,26013,68,26013,26013.0,0.0,26013,26013,40404,10101.0,19185.42998,38869,68,0,64,176,49.5000495,123.7501238,0,1170,169.5,409.4689941,167664.8571,0,1,0,0,0,2,193.7142857,93.0,234.0,2,186,5,1170,1716,1,0.0,0.0,0,0,0.0,0.0,0,0,SamsungSmartCam
