Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Bwd PSH Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
61132071,3,3,106,244,106,0,35.33333333,61.19912853,106,69,81.33333333,21.36195996,5.725309061,0.098148155,12200000.0,27200000.0,60900000,855,61000000,30500000.0,43000000.0,60900000,132094,61100000,30600000.0,43000000.0,61000000,119874,1,60,60,0.049074078,0.049074078,0,106,65.14285714,47.47781437,2254.142857,0,0,0,1,1,1,76.0,35.33333333,81.33333333,3,106,3,244,87,1,120729.0,0.0,120729,120729,60900000,0.0,60900000,60900000,TPLinkCam
9256,0,2,0,455,0,0,0.0,0.0,411,44,227.5,259.5081887,49157.30337,216.0760588,9256.0,0.0,9256,9256,0,0.0,0.0,0,0,9256,9256.0,0.0,9256,9256,0,0,16,0.0,216.0760588,44,411,166.3333333,211.8875488,44896.33333,0,0,0,0,0,0,249.5,0.0,227.5,0,0,2,455,-1,0,0.0,0.0,0,0,0,0.0,0,0,TPLinkCam
1419863,15,1,420,28,28,28,28.0,0.0,28,28,28.0,0.0,315.5233991,11.26869282,94657.53333,91169.07521,243976,14717,1403694,100263.8571,91888.1937,243976,14717,0,0.0,0.0,0,0,0,120,8,10.56439952,0.704293302,28,28,28.0,0.0,0.0,0,0,0,0,0,0,29.75,28.0,28.0,15,420,1,28,-1,15,0.0,0.0,0,0,0,0.0,0,0,TPLinkCam
61254449,3,3,106,244,106,0,35.33333333,61.19912853,106,69,81.33333333,21.36195996,5.713870677,0.097952069,12300000.0,27100000.0,60800000,1449,61000000,30500000.0,42800000.0,60800000,254441,61300000,30600000.0,43000000.0,61000000,246827,1,60,60,0.048976034,0.048976034,0,106,65.14285714,47.47781437,2254.142857,0,0,0,1,1,1,76.0,35.33333333,81.33333333,3,106,3,244,125,1,249998.0,0.0,249998,249998,60800000,0.0,60800000,60800000,TPLinkCam
61252535,3,3,106,244,106,0,35.33333333,61.19912853,106,69,81.33333333,21.36195996,5.714049223,0.09795513,12300000.0,27100000.0,60700000,1608,61000000,30500000.0,42800000.0,60700000,252583,61300000,30600000.0,43000000.0,61000000,253449,1,60,60,0.048977565,0.048977565,0,106,65.14285714,47.47781437,2254.142857,0,0,0,1,1,1,76.0,35.33333333,81.33333333,3,106,3,244,125,1,258698.0,0.0,258698,258698,60700000,0.0,60700000,60700000,TPLinkCam
61243085,3,3,106,244,106,0,35.33333333,61.19912853,106,69,81.33333333,21.36195996,5.714930918,0.097970244,12200000.0,27100000.0,60800000,1550,61000000,30500000.0,42800000.0,60800000,242996,61200000,30600000.0,43000000.0,61000000,230484,1,60,60,0.048985122,0.048985122,0,106,65.14285714,47.47781437,2254.142857,0,0,0,1,1,1,76.0,35.33333333,81.33333333,3,106,3,244,87,1,232034.0,0.0,232034,232034,60800000,0.0,60800000,60800000,TPLinkCam
1427513,15,1,420,28,28,28,28.0,0.0,28,28,28.0,0.0,313.8325185,11.20830423,95167.53333,91336.60146,243319,13392,1411906,100850.4286,91991.31819,243319,13392,0,0.0,0.0,0,0,0,120,8,10.50778522,0.700519015,28,28,28.0,0.0,0.0,0,0,0,0,0,0,29.75,28.0,28.0,15,420,1,28,-1,15,0.0,0.0,0,0,0,0.0,0,0,TPLinkCam
61232133,3,3,106,244,106,0,35.33333333,61.19912853,106,69,81.33333333,21.36195996,5.715953093,0.097987767,12200000.0,27100000.0,60800000,1466,61000000,30500000.0,42800000.0,60800000,232284,61200000,30600000.0,43000000.0,61000000,231045,1,60,60,0.048993884,0.048993884,0,106,65.14285714,47.47781437,2254.142857,0,0,0,1,1,1,76.0,35.33333333,81.33333333,3,106,3,244,87,1,234319.0,0.0,234319,234319,60800000,0.0,60800000,60800000,TPLinkCam
144225,0,2,0,96,0,0,0.0,0.0,68,28,48.0,28.28427125,665.6266251,13.86722136,144225.0,0.0,144225,144225,0,0.0,0.0,0,0,144225,144225.0,0.0,144225,144225,0,0,16,0.0,13.86722136,28,68,41.33333333,23.09401077,533.3333333,0,0,0,0,0,0,62.0,0.0,48.0,0,0,2,96,-1,0,0.0,0.0,0,0,0,0.0,0,0,TPLinkCam
61241784,3,3,106,244,106,0,35.33333333,61.19912853,106,69,81.33333333,21.36195996,5.715052324,0.097972326,12200000.0,27100000.0,60800000,1830,61000000,30500000.0,42800000.0,60800000,241511,61200000,30600000.0,43000000.0,61000000,237215,1,60,60,0.048986163,0.048986163,0,106,65.14285714,47.47781437,2254.142857,0,0,0,1,1,1,76.0,35.33333333,81.33333333,3,106,3,244,87,1,239045.0,0.0,239045,239045,60800000,0.0,60800000,60800000,TPLinkCam
240840,2,5,108,295,108,0,54.0,76.36753237,295,0,59.0,131.9280107,1673.310081,29.06493938,40140.0,61441.38251,119743,103,120,120.0,0.0,120,120,240840,60210.0,68975.51598,120708,103,0,40,124,8.304268394,20.76067098,0,295,50.375,105.8218685,11198.26786,0,1,0,0,0,2,57.57142857,54.0,59.0,2,108,5,295,71,1,0.0,0.0,0,0,0,0.0,0,0,TPLinkCam
104,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,19230.76923,104.0,0.0,104,104,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,20,20,9615.384615,9615.384615,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0.0,0.0,0.0,1,0,1,0,2920,0,0.0,0.0,0,0,0,0.0,0,0,TPLinkCam
