Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Bwd PSH Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
112424744,11,5,312,80,84,16,28.36363636,27.50735439,16,16,16.0,0.0,3.486776897,0.142317424,7494982.933,4666201.146,10200000,18742,102000000,10200000.0,22613.60369,10300000,10200000,112000000,28100000.0,5121964.887,30700000,20400000,0,88,40,0.097843229,0.044474195,16,84,24.0,22.58317958,510.0,0,0,0,0,0,0,25.5,28.36363636,16.0,11,312,5,80,-1,11,19589.66667,1212.754028,20990,18881,10200000.0,16037.68941,10200000,10200000,IPCam_V380
113064024,11,5,244,148,84,16,22.18181818,20.50277143,84,16,29.6,30.41052449,3.467062166,0.141512741,7537601.6,4693581.032,10400000,18351,103000000,10300000.0,64416.83348,10400000,10200000,92400000,23100000.0,15400000.0,30800000,18351,0,88,40,0.09729001,0.044222732,16,84,28.0,26.72077843,714.0,0,0,0,0,0,0,29.75,22.18181818,29.6,11,244,5,148,-1,11,18482.75,111.4940208,18589,18351,10300000.0,56031.63272,10400000,10200000,IPCam_V380
119967996,5677,7733,0,7027883,0,0,0.0,0.0,1448,0,908.8171473,527.5805901,58581.3153,111.7798117,8946.82646,19069.251,236689,12,120000000,21133.14094,27429.11355,436741,12,120000000,15515.62584,24409.53251,236689,21,0,181688,247456,47.32095383,64.45885784,0,1448,524.0386996,601.7816377,362141.1395,0,0,0,0,1,1,524.0777778,0.0,908.8171473,5677,0,7733,7027883,16616,0,0.0,0.0,0,0,0.0,0.0,0,0,IPCam_V380
112414458,11,5,312,80,84,16,28.36363636,27.50735439,16,16,16.0,0.0,3.487095939,0.142330446,7494297.2,4668654.55,10200000,14597,102000000,10200000.0,22606.56296,10300000,10200000,112000000,28100000.0,5109970.197,30700000,20400000,0,88,40,0.097852182,0.044478265,16,84,24.0,22.58317958,510.0,0,0,0,0,0,0,25.5,28.36363636,16.0,11,312,5,80,-1,11,14780.0,176.8587007,14950,14597,10200000.0,17344.48726,10200000,10200000,IPCam_V380
112580235,11,5,312,80,84,16,28.36363636,27.50735439,16,16,16.0,0.0,3.48196111,0.142120862,7505349.0,4675459.578,10300000,14829,102000000,10200000.0,38762.14907,10300000,10200000,113000000,28100000.0,5124567.441,30700000,20500000,0,88,40,0.097708092,0.044412769,16,84,24.0,22.58317958,510.0,0,0,0,0,0,0,25.5,28.36363636,16.0,11,312,5,80,-1,11,14990.66667,140.4789427,15083,14829,10200000.0,31415.67764,10300000,10200000,IPCam_V380
112456846,11,5,312,80,84,16,28.36363636,27.50735439,16,16,16.0,0.0,3.485781559,0.142276798,7497123.067,4669622.2,10300000,15843,102000000,10200000.0,27689.77677,10300000,10200000,112000000,28100000.0,5108924.868,30700000,20500000,0,88,40,0.097815299,0.044461499,16,84,24.0,22.58317958,510.0,0,0,0,0,0,0,25.5,28.36363636,16.0,11,312,5,80,-1,11,16140.66667,121.1624254,16251,16011,10200000.0,22267.63254,10300000,10200000,IPCam_V380
112589564,11,5,312,80,84,16,28.36363636,27.50735439,16,16,16.0,0.0,3.4816726,0.142109086,7505970.933,4675035.072,10300000,15940,102000000,10200000.0,32049.24543,10300000,10200000,113000000,28100000.0,5126364.358,30700000,20500000,0,88,40,0.097699996,0.044409089,16,84,24.0,22.58317958,510.0,0,0,0,0,0,0,25.5,28.36363636,16.0,11,312,5,80,-1,11,16372.33333,538.8323796,16976,15940,10200000.0,26507.48198,10300000,10200000,IPCam_V380
114208,7,8,1995,5065,1250,33,285.0,457.2194951,1250,25,633.125,566.7439426,61817.03558,131.3393107,8157.714286,11636.60847,41798,36,70342,11723.66667,13063.46696,30848,228,99056,14150.85714,16695.64014,41798,36,0,56,64,61.29167834,70.04763239,25,1250,519.375,549.2137259,301635.7167,0,0,0,0,0,1,554.0,285.0,633.125,7,1995,8,5065,-1,7,0.0,0.0,0,0,0.0,0.0,0,0,IPCam_V380
119990024,40,42,640,16,16,16,16.0,0.0,16,0,0.380952381,2.468853599,5.467121167,0.683390146,1481358.321,1503951.365,3218795,2094,117000000,3000063.205,62611.62237,3221628,2782847,120000000,2926585.951,472724.0755,3222512,2886,1,1280,1344,0.333361047,0.350029099,0,16,8.096385542,8.04804848,64.77108434,0,0,0,1,1,1,8.195121951,16.0,0.380952381,40,640,42,16,15544,40,0.0,0.0,0,0,0.0,0.0,0,0,IPCam_V380
1634,0,2,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1223.990208,1634.0,0.0,1634,1634,0,0.0,0.0,0,0,1634,1634.0,0.0,1634,1634,0,0,64,0.0,1223.990208,0,0,0.0,0.0,0.0,1,0,0,0,1,0,0.0,0.0,0.0,0,0,2,0,343,0,0.0,0.0,0,0,0.0,0.0,0,0,IPCam_V380
168428,12,12,5158,5063,1250,33,429.8333333,530.7666553,1250,25,421.9166667,528.8177996,60684.68426,142.4941221,7322.956522,12525.10947,39132,52,165620,15056.36364,20359.30155,51936,52,165433,15039.36364,17543.48831,41994,113,0,96,96,71.24706106,71.24706106,25,1250,458.84,533.3607035,284473.64,0,0,0,0,0,1,477.9583333,429.8333333,421.9166667,12,5158,12,5063,-1,12,0.0,0.0,0,0,0.0,0.0,0,0,IPCam_V380
