Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Bwd PSH Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
280757,0,2,0,279,0,0,0.0,0.0,242,37,139.5,144.9568901,993.7419192,7.123597987,280757.0,0.0,280757,280757,0,0.0,0.0,0,0,280757,280757.0,0.0,280757,280757,0,0,16,0.0,7.123597987,37,242,105.3333333,118.3568052,14008.33333,0,0,0,0,0,0,158.0,0.0,139.5,0,0,2,279,-1,0,0.0,0.0,0,0,0.0,0.0,0,0,WithingsCam
322,0,2,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,6211.180124,322.0,0.0,322,322,0,0.0,0.0,0,0,322,322.0,0.0,322,322,0,0,64,0.0,6211.180124,0,0,0.0,0.0,0.0,1,0,0,0,1,0,0.0,0.0,0.0,0,0,2,0,3456,0,0.0,0.0,0,0,0.0,0.0,0,0,WithingsCam
326,0,2,0,90,0,0,0.0,0.0,53,37,45.0,11.3137085,276073.6196,6134.969325,326.0,0.0,326,326,0,0.0,0.0,0,0,326,326.0,0.0,326,326,0,0,16,0.0,6134.969325,37,53,42.33333333,9.237604307,85.33333333,0,0,0,0,0,0,63.5,0.0,45.0,0,0,2,90,-1,0,0.0,0.0,0,0,0.0,0.0,0,0,WithingsCam
284979,0,2,0,279,0,0,0.0,0.0,242,37,139.5,144.9568901,979.0195067,7.01806098,284979.0,0.0,284979,284979,0,0.0,0.0,0,0,284979,284979.0,0.0,284979,284979,0,0,16,0.0,7.01806098,37,242,105.3333333,118.3568052,14008.33333,0,0,0,0,0,0,158.0,0.0,139.5,0,0,2,279,-1,0,0.0,0.0,0,0,0.0,0.0,0,0,WithingsCam
326,0,2,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,6134.969325,326.0,0.0,326,326,0,0.0,0.0,0,0,326,326.0,0.0,326,326,0,0,64,0.0,6134.969325,0,0,0.0,0.0,0.0,1,0,0,0,1,0,0.0,0.0,0.0,0,0,2,0,5816,0,0.0,0.0,0,0,0.0,0.0,0,0,WithingsCam
119505011,24,24,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.401656797,2542659.809,2517731.412,5770854,251,119000000,5182200.696,575962.8409,5770854,4549193,120000000,5195870.043,896885.8638,6085302,4234748,0,768,768,0.200828399,0.200828399,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0.0,0.0,0.0,24,0,24,0,5816,0,4237983.667,1236029.262,4640155,314131,5720745.25,32847.71833,5770854,5670707,WithingsCam
116695660,23,25,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.411326351,2482886.383,2770591.015,6949362,246,113000000,5150441.136,1825334.176,6949362,3351628,116000000,4849771.708,2324065.633,7250713,248,0,736,800,0.197093876,0.214232474,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0.0,0.0,0.0,23,0,25,0,5816,0,3370222.0,10334.80831,3385955,3354560,6933780.909,10326.39481,6949362,6918081,WithingsCam
313,0,2,0,90,0,0,0.0,0.0,53,37,45.0,11.3137085,287539.9361,6389.776358,313.0,0.0,313,313,0,0.0,0.0,0,0,313,313.0,0.0,313,313,0,0,16,0.0,6389.776358,37,53,42.33333333,9.237604307,85.33333333,0,0,0,0,0,0,63.5,0.0,45.0,0,0,2,90,-1,0,0.0,0.0,0,0,0.0,0.0,0,0,WithingsCam
115315502,23,25,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.416249326,2453521.319,3478421.363,8688164,243,114000000,5167398.227,3520168.267,8688164,1638373,115000000,4804801.583,3880962.887,9005340,329223,0,736,800,0.199452802,0.216796524,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0.0,0.0,0.0,23,0,25,0,272,0,1712820.182,56117.47139,1786798,1632741,8606241.909,52975.04276,8688164,8539029,WithingsCam
317,0,2,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,6309.148265,317.0,0.0,317,317,0,0.0,0.0,0,0,317,317.0,0.0,317,317,0,0,64,0.0,6309.148265,0,0,0.0,0.0,0.0,1,0,0,0,1,0,0.0,0.0,0.0,0,0,2,0,3456,0,0.0,0.0,0,0,0.0,0.0,0,0,WithingsCam
